Voltage,Current
-0.003705882,4.93E-05
0.015163954,4.89E-05
0.034903962,4.85E-05
0.054940184,4.82E-05
0.07524648,4.78E-05
0.09572464,4.75E-05
0.11603118,4.72E-05
0.1360685,4.69E-05
0.15576798,4.66E-05
0.1752279,4.63E-05
0.19531074,4.59E-05
0.2149011,4.56E-05
0.2339456,4.53E-05
0.25277222,4.50E-05
0.27116054,4.47E-05
0.28866262,4.44E-05
0.30569578,4.40E-05
0.32330522,4.36E-05
0.34117718,4.30E-05
0.35937996,4.25E-05
0.377919,4.21E-05
0.39712204,4.17E-05
0.4162581,4.13E-05
0.43576378,4.09E-05
0.45571116,4.05E-05
0.47610806,4.02E-05
0.49630416,3.98E-05
0.51631604,3.95E-05
0.53607118,3.91E-05
0.55512274,3.87E-05
0.57370904,3.82E-05
0.59229234,3.77E-05
0.61123528,3.73E-05
0.63037816,3.68E-05
0.64993786,3.63E-05
0.66972372,3.59E-05
0.68978288,3.55E-05
0.71009722,3.51E-05
0.73061448,3.47E-05
0.75120078,3.44E-05
0.77194436,3.40E-05
0.79265786,3.36E-05
0.81351896,3.33E-05
0.83402484,3.29E-05
0.8545543,3.24E-05
0.87494916,3.20E-05
0.89530728,3.16E-05
0.91567274,3.10E-05
0.93640096,3.04E-05
0.95739812,2.98E-05
0.97869606,2.92E-05
1.0002116,2.84E-05
1.022116,2.78E-05
1.044255,2.73E-05
1.066592,2.67E-05
1.088981,2.62E-05
1.1114548,2.58E-05
1.1337176,2.52E-05
1.1558468,2.47E-05
1.1778378,2.42E-05
1.1996366,2.37E-05
1.221407,2.31E-05
1.2431048,2.26E-05
1.2648778,2.18E-05
1.2870638,2.08E-05
1.3097386,1.97E-05
1.3327278,1.90E-05
1.3563408,1.77E-05
1.3801262,1.66E-05
1.4040782,1.57E-05
1.4279526,1.49E-05
1.4519908,1.39E-05
1.4759218,1.31E-05
1.5001452,1.22E-05
1.5243498,1.14E-05
1.5486154,1.04E-05
1.5730338,9.28E-06
1.5974256,8.29E-06
1.6218644,7.38E-06
1.6463598,6.45E-06
1.6710062,5.74E-06
1.695771,4.74E-06
1.7206022,4.27E-06
1.7456696,3.44E-06
1.7708552,2.61E-06
1.7963026,1.49E-06
1.8220544,4.78E-07
1.8482214,-9.56E-07
1.8746878,-2.06E-06
1.9013248,-3.27E-06
1.928359,-4.21E-06
1.954767,-5.49E-06
